event_year,publication_date,document_number,document_type,title,abstract,html_url,pdf_url,is_p3_candidate,candidate_type,matched_terms,country_target,country_target_coding_status,semiconductor_related_manual_status,severity,severity_coding_status,source_flag
2017,2017-01-04,2016-31969,Rule,Addition of Certain Entities to the Entity List,"The Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding five entities to the Entity List. These five entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. BIS is taking this action in conjunction with the designations made by the Office of Foreign Asset Controls, Department of the Treasury, under amended Executive Order 13694. This final rule lists these entities on the Entity List under the destination of Russia.",https://www.federalregister.gov/documents/2017/01/04/2016-31969/addition-of-certain-entities-to-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-01-04/pdf/2016-31969.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-10,2016-31833,Rule,Addition of Certain Persons and Revisions to Entries on the Entity List; and Removal of a Person From the Entity List,"This rule amends the Export Administration Regulations (EAR) by adding five persons to the Entity List. The five persons who are added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These five persons will be listed on the Entity List under the destination of Turkey. This final rule also removes one entity from the Entity List under the destination of India as the result of a request for removal received by BIS and a review of information provided in the removal request in accordance with the procedure for requesting removal or modification of an Entity List entity. Finally, this rule is also revising five existing entries in the Entity List, under the destinations of Armenia, Greece, Pakistan, Russia and the United Kingdom (U.K.). Four of these entries are modified to reflect the removal from the Entity List of the entity located in India. The license requirement for the entry under the destination of Russia is being revised to conform with a general license issued by the Department of the Treasury's Office of Foreign Assets Control on December 20, 2016.",https://www.federalregister.gov/documents/2017/01/10/2016-31833/addition-of-certain-persons-and-revisions-to-entries-on-the-entity-list-and-removal-of-a-person-from,https://www.govinfo.gov/content/pkg/FR-2017-01-10/pdf/2016-31833.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-02-24,2017-03664,Rule,Temporary General License: Extension of Validity,"On March 24, 2016, the Bureau of Industry and Security (BIS) published a final rule, Temporary General License. The March 24 final rule created a temporary general license that restored, for a specified time period, the licensing requirements and policies under the Export Administration Regulations (EAR) for exports, reexports, and transfers (in-country) as of March 7, 2016, to two entities (ZTE Corporation and ZTE Kangxun) that were added to the Entity List on March 8, 2016. At this time, the U.S. Government has decided to extend the temporary general license until March 29, 2017. In order to implement this decision, this final rule revises the temporary general license to remove the expiration date of February 27, 2017, and to substitute the date of March 29, 2017. This final rule makes no other changes to the EAR.",https://www.federalregister.gov/documents/2017/02/24/2017-03664/temporary-general-license-extension-of-validity,https://www.govinfo.gov/content/pkg/FR-2017-02-24/pdf/2017-03664.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-03-29,2017-06227,Rule,Removal of Certain Persons From the Entity List; Addition of a Person to the Entity List; and EAR Conforming Change,"This rule amends the Export Administration Regulations (EAR) by removing two persons listed under the destination of China from the Entity List. The two removals are the result of a request for removal received by BIS pursuant to the section of the EAR used for requesting removal or modification of an Entity List entry and a review of information provided in the removal request in accordance with the procedure for requesting removal or modification of an Entity List entity. In light of the recent settlement of administrative and criminal enforcement actions against ZTE Corporation and ZTE Kangxun, the End-User Review Committee (ERC) has determined that these two persons being removed have performed their undertakings to the U.S. Government in a timely manner and have otherwise cooperated with the U.S. Government in resolving the matter which led to the two entities' listing. This final rule also adds one person to the Entity List. This person who is added to the Entity List has been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. This person will be listed on the Entity List under the destination of China. Lastly, this final rule makes a conforming change to the EAR as a result of the removal of these two persons from the Entity List.",https://www.federalregister.gov/documents/2017/03/29/2017-06227/removal-of-certain-persons-from-the-entity-list-addition-of-a-person-to-the-entity-list-and-ear,https://www.govinfo.gov/content/pkg/FR-2017-03-29/pdf/2017-06227.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-03-29,2017-06228,Rule,Removal of Certain Persons From the Entity List,"This rule amends the Export Administration Regulations (EAR) by removing seven persons under ten entries from the Entity List. This rule removes four persons listed under the destination of Germany, one person listed under the destination of Hong Kong, one person listed under the destination of India, one person listed under the destination of Singapore, one person listed under the destination of Switzerland, and two persons under the destination of the United Arab Emirates from the Entity List. The three additional entries are being removed to account for two persons listed under more than one destination on the Entity List. All seven of the removals are the result of requests for removal received by BIS pursuant to the section of the EAR used for requesting removal or modification of an Entity List entity and a review of information provided in the removal requests in accordance with the procedure for requesting removal or modification of an Entity List entity.",https://www.federalregister.gov/documents/2017/03/29/2017-06228/removal-of-certain-persons-from-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-03-29/pdf/2017-06228.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-04-18,2017-07833,Rule,Revision to an Entry on the Entity List,"This rule amends the Export Administration Regulations (EAR) by revising one existing entry in the Entity List, under the destination of Russia. The license requirement for the entry is being revised to conform with a general license issued by the Department of the Treasury's Office of Foreign Assets Control on February 2, 2017.",https://www.federalregister.gov/documents/2017/04/18/2017-07833/revision-to-an-entry-on-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-04-18/pdf/2017-07833.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-05-26,2017-10804,Rule,Addition of Certain Persons and Revisions to Entries on the Entity List,"This rule amends the Export Administration Regulations (EAR) by adding sixteen persons to the Entity List. The sixteen persons who are added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These sixteen persons will be listed on the Entity List under the destinations of Pakistan, Turkey and the United Arab Emirates. This final rule is also modifying two existing entries in the Entity List under the destinations of China and Hong Kong.",https://www.federalregister.gov/documents/2017/05/26/2017-10804/addition-of-certain-persons-and-revisions-to-entries-on-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-05-26/pdf/2017-10804.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-06-22,2017-13167,Rule,Russian Sanctions: Addition of Certain Entities to the Entity List,The Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding ten entities to the Entity List. The ten entities that are added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. BIS is taking this action to ensure the efficacy of existing sanctions on the Russian Federation (Russia) for violating international law and fueling the conflict in eastern Ukraine. These entities will be listed on the Entity List under the destinations of the Crimea region of Ukraine and Russia.,https://www.federalregister.gov/documents/2017/06/22/2017-13167/russian-sanctions-addition-of-certain-entities-to-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-06-22/pdf/2017-13167.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-09-25,2017-20406,Rule,Removal of Certain Entities From the Entity List; and Revisions of Entries on the Entity List,"This rule amends the Export Administration Regulations (EAR) by removing three entities under four entries from the Entity List. This rule removes one entity listed under the destination of Australia, one entity listed under the destination of China, and one entity listed under the destinations of Iran and the United Arab Emirates from the Entity List. The one additional entry is being removed to account for one entity listed under more than one destination on the Entity List. All three of the removals are the result of requests for removal received by BIS pursuant to the section of the EAR used for requesting removal or modification of an Entity List entity and a review of information provided in the removal requests in accordance with the procedure for requesting removal or modification of an Entity List entity. Finally, this final rule modifies five existing entries on the Entity List consisting of five entries under Pakistan to provide additional or modified addresses and/or names for these persons.",https://www.federalregister.gov/documents/2017/09/25/2017-20406/removal-of-certain-entities-from-the-entity-list-and-revisions-of-entries-on-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-09-25/pdf/2017-20406.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-12-20,2017-27388,Rule,Addition of Certain Entities to the Entity List,This rule amends the Export Administration Regulations (EAR) by adding two entities to the Entity List. The two entities being added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These two entities will be listed on the Entity List under the destination of Russia.,https://www.federalregister.gov/documents/2017/12/20/2017-27388/addition-of-certain-entities-to-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-12-20/pdf/2017-27388.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
