event_year,publication_date,document_number,title,country_mentioned,literal_context_count,first_context,legal_scope_review_status,p3_merge_ready
2017,2017-01-10,2016-31833,Addition of Certain Persons and Revisions to Entries on the Entity List; and Removal of a Person From the Entity List,India,23,ates. These five persons will be listed on the Entity List under the destination of Turkey. This final rule also removes one entity from the Entity List under the destination of India as the result of a request for removal received by BIS and a review of information provided in the removal request in accordance with the procedure for requesting removal or mo,pending_manual_review,False
2017,2017-03-29,2017-06228,Removal of Certain Persons From the Entity List,Germany,13,"ends the Export Administration Regulations (EAR) by removing seven persons under ten entries from the Entity List. This rule removes four persons listed under the destination of Germany, one person listed under the destination of Hong Kong, one person listed under the destination of India, one person listed under the destination of Singapore, one person listed",pending_manual_review,False
2017,2017-03-29,2017-06228,Removal of Certain Persons From the Entity List,India,21,"y List. This rule removes four persons listed under the destination of Germany, one person listed under the destination of Hong Kong, one person listed under the destination of India, one person listed under the destination of Singapore, one person listed under the destination of Switzerland, and two persons under the destination of the United Arab Emirates",pending_manual_review,False
2017,2017-03-29,2017-06228,Removal of Certain Persons From the Entity List,Singapore,7,"r the destination of Germany, one person listed under the destination of Hong Kong, one person listed under the destination of India, one person listed under the destination of Singapore, one person listed under the destination of Switzerland, and two persons under the destination of the United Arab Emirates from the Entity List. The three additional entries are",pending_manual_review,False
2022,2022-03-03,2022-04300,Implementation of Sanctions Against Russia Under the Export Administration Regulations (EAR),Germany,1,"...... Full.............. 87 FR [INSERT FR PAGE NUMBER], 3/3/ 2022. Germany......................... Full.............. 87 FR [INSERT FR PAGE NUMBER], 3/3/",pending_manual_review,False
2022,2022-03-03,2022-04300,Implementation of Sanctions Against Russia Under the Export Administration Regulations (EAR),Japan,2,"Federal Register document announcing the addition of such countries to the supplement. This final rule adds the twenty-seven countries of the European Union, Australia, Canada, Japan, New Zealand, and the United Kingdom, as the first countries in supplement No. 3 to part 746. The introductory text of the Russia Exclusions List specifies that exclusions may b",pending_manual_review,False
2022,2022-03-03,2022-04300,Implementation of Sanctions Against Russia Under the Export Administration Regulations (EAR),Netherlands,1,"...... Full.............. 87 FR [INSERT FR PAGE NUMBER], 3/3/ 2022. Netherlands..................... Full.............. 87 FR [INSERT FR PAGE NUMBER], 3/3/",pending_manual_review,False
2022,2022-03-09,2022-04925,Further Imposition of Sanctions Against Russia With the Addition of Certain Entities to the Entity List,Singapore,7,"amending the Export Administration Regulations (EAR) by adding 91 new entities to the Entity List under the destinations of Belize, Estonia, Kazakhstan, Latvia, Malta, Russia, Singapore, Slovakia, Spain, and United Kingdom with this final rule. These 91 entities have been determined by the U.S. Government to be acting contrary to the foreign policy or national",pending_manual_review,False
2022,2022-06-06,2022-11885,"Export Administration Regulations: Revisions to Russia and Belarus Sanctions and Related Provisions; Other Revisions, Corrections, and Clarifications",South Korea,1,"transfers (in-country) of certain items subject to the EAR: one rule effective March 4, 2022,\7\ and a second rule effective April 8, 2022.\8\ Taken together, these rules added South Korea, Iceland, Liechtenstein, Norway, and Switzerland to the list of countries set forth in supplement no. 3 to part 746 of the EAR that are excluded from such licensing requirement",pending_manual_review,False
2022,2022-06-30,2022-14069,"Addition of Entities, Revision and Correction of Entries, and Removal of Entities From the Entity List",Singapore,8,"States. These entities will be listed on the Entity List under the destinations of the People's Republic of China (China), Lithuania, Pakistan, the Russian Federation (Russia), Singapore, the United Arab Emirates (UAE), the United Kingdom, Uzbekistan, and Vietnam. Some entities are added under multiple entries, accounting for the difference in the total number o",pending_manual_review,False
