event_year,publication_date,document_number,document_type,title,abstract,html_url,pdf_url,is_p3_candidate,candidate_type,matched_terms,country_target,country_target_coding_status,semiconductor_related_manual_status,severity,severity_coding_status,source_flag
2017,2017-01-04,2016-31969,Rule,Addition of Certain Entities to the Entity List,"The Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding five entities to the Entity List. These five entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. BIS is taking this action in conjunction with the designations made by the Office of Foreign Asset Controls, Department of the Treasury, under amended Executive Order 13694. This final rule lists these entities on the Entity List under the destination of Russia.",https://www.federalregister.gov/documents/2017/01/04/2016-31969/addition-of-certain-entities-to-the-entity-list,https://www.govinfo.gov/content/pkg/FR-2017-01-04/pdf/2016-31969.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-06,2017-00007,Notice,"In the Matter of: Robert Luba, Inmate Number: 65986-050, USP Canaan, U.S. Penitentiary, Satellite Camp, P.O. Box 200, Waymart, PA 18472; Order Denying Export Privileges",,https://www.federalregister.gov/documents/2017/01/06/2017-00007/in-the-matter-of-robert-luba-inmate-number-65986-050-usp-canaan-us-penitentiary-satellite-camp-po,https://www.govinfo.gov/content/pkg/FR-2017-01-06/pdf/2017-00007.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-06,2017-00015,Notice,"In the Matter of: Dane Francisco Delgado, Inmate Number: 60114-379, Eden, Correctional Institution, P.O. Box 605, Eden, TX 76837; Order Denying Export Privileges",,https://www.federalregister.gov/documents/2017/01/06/2017-00015/in-the-matter-of-dane-francisco-delgado-inmate-number-60114-379-eden-correctional-institution-po-box,https://www.govinfo.gov/content/pkg/FR-2017-01-06/pdf/2017-00015.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-06,2017-00016,Notice,"In the Matter of: Kamran Ashfaq Malik, Inmate Number: 57841-037, FCI Fort Dix, Federal Correctional Institution, P.O. Box 2000, Joint Base MDL, NJ 08640; Order Denying Export Privileges",,https://www.federalregister.gov/documents/2017/01/06/2017-00016/in-the-matter-of-kamran-ashfaq-malik-inmate-number-57841-037-fci-fort-dix-federal-correctional,https://www.govinfo.gov/content/pkg/FR-2017-01-06/pdf/2017-00016.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-09,2017-00092,Notice,Order Renewing Order Temporarily Denying Export Privileges,,https://www.federalregister.gov/documents/2017/01/09/2017-00092/order-renewing-order-temporarily-denying-export-privileges,https://www.govinfo.gov/content/pkg/FR-2017-01-09/pdf/2017-00092.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-10,2016-31755,Rule,Revisions to the Export Administration Regulations (EAR): Control of Spacecraft Systems and Related Items the President Determines No Longer Warrant Control Under the United States Munitions List (USML),"This final rule addresses issues raised in, and public comments on, the interim final rule that was published on May 13, 2014, as well as additional clarifications and corrections. The May 13 rule added controls to the Export Administration Regulations (EAR) for spacecraft and related items that the President has determined no longer warrant control under United States Munitions List (USML) Category XV--spacecraft and related items. This is the third final rule BIS has published related to the May 13 rule and completes the regulatory action for the interim final rule. These changes were also informed by comments received in response to the May 13 rule that included a request for comments, as well as interagency discussions on how best to address the comments. The changes made in this final rule are grouped into four types of changes: Changes to address the movement of additional spacecraft and related items from the USML to the Commerce Control List (CCL), as a result of changes in aperture size for spacecraft that warrant ITAR control, in response to public comments and further U.S. Government review; changes to address the movement of the James Webb Space Telescope (JWST) from the USML to the CCL; other corrections and clarifications to the spacecraft interim final rule; and addition of .y items to Export Control Classification Number 9A515. This final rule is being published in conjunction with the publication of a Department of State, Directorate of Defense Trade Controls (DDTC) final rule, which makes changes, including corrections and clarifications, to the provisions adopted in the State Department's own May 13, 2014 rule. The State May 13 rule revised USML Category XV (22 CFR 121.1) to control those articles the President has determined warrant control on the USML. Both May 13 rules and the subsequent related rules are part of the President's Export Control Reform Initiative. This rule is also part of Commerce's retrospective regulatory review plan under Executive Order (EO) 13563 (see the SUPPLEMENTARY INFORMATION section of this rule for information on the availability of the plan).",https://www.federalregister.gov/documents/2017/01/10/2016-31755/revisions-to-the-export-administration-regulations-ear-control-of-spacecraft-systems-and-related,https://www.govinfo.gov/content/pkg/FR-2017-01-10/pdf/2016-31755.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-10,2016-31833,Rule,Addition of Certain Persons and Revisions to Entries on the Entity List; and Removal of a Person From the Entity List,"This rule amends the Export Administration Regulations (EAR) by adding five persons to the Entity List. The five persons who are added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These five persons will be listed on the Entity List under the destination of Turkey. This final rule also removes one entity from the Entity List under the destination of India as the result of a request for removal received by BIS and a review of information provided in the removal request in accordance with the procedure for requesting removal or modification of an Entity List entity. Finally, this rule is also revising five existing entries in the Entity List, under the destinations of Armenia, Greece, Pakistan, Russia and the United Kingdom (U.K.). Four of these entries are modified to reflect the removal from the Entity List of the entity located in India. The license requirement for the entry under the destination of Russia is being revised to conform with a general license issued by the Department of the Treasury's Office of Foreign Assets Control on December 20, 2016.",https://www.federalregister.gov/documents/2017/01/10/2016-31833/addition-of-certain-persons-and-revisions-to-entries-on-the-entity-list-and-removal-of-a-person-from,https://www.govinfo.gov/content/pkg/FR-2017-01-10/pdf/2016-31833.pdf,True,entity_list_requires_manual_semiconductor_coding,entity list,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-11,2017-00338,Notice,Information Systems; Technical Advisory Committee; Notice of Open Meeting,,https://www.federalregister.gov/documents/2017/01/11/2017-00338/information-systems-technical-advisory-committee-notice-of-open-meeting,https://www.govinfo.gov/content/pkg/FR-2017-01-11/pdf/2017-00338.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-11,2017-00339,Notice,Sensors and Instrumentation Technical Advisory Committee; Notice of Open Meeting,,https://www.federalregister.gov/documents/2017/01/11/2017-00339/sensors-and-instrumentation-technical-advisory-committee-notice-of-open-meeting,https://www.govinfo.gov/content/pkg/FR-2017-01-11/pdf/2017-00339.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
2017,2017-01-13,2017-00652,Notice,Increase of Controls: Infrared Detection Items,"On October 12, 2016, the Bureau of Industry and Security (BIS) published a final rule entitled ""Revisions to the Export Administration Regulations (EAR): Control of Fire Control, Laser, Imaging, and Guidance Equipment the President Determines No Longer Warrant Control Under the United States Munitions List (USML)."" This notice of inquiry is published to request comments from the public on the impact of further increasing certain controls implemented by that final rule.",https://www.federalregister.gov/documents/2017/01/13/2017-00652/increase-of-controls-infrared-detection-items,https://www.govinfo.gov/content/pkg/FR-2017-01-13/pdf/2017-00652.pdf,False,not_candidate,,,not_coded,not_manually_coded,,not_coded,Federal_Register_BIS_agency_archive
