reporter_code,reporter_iso3,reporter,year,classification
276,DEU,Germany,2017,H5
276,DEU,Germany,2022,H6
360,IDN,Indonesia,2017,H5
360,IDN,Indonesia,2022,H6
699,IND,India,2017,H5
699,IND,India,2022,H6
392,JPN,Japan,2017,H5
392,JPN,Japan,2022,H6
410,KOR,Rep. of Korea,2017,H5
410,KOR,Rep. of Korea,2022,H6
484,MEX,Mexico,2017,H4
484,MEX,Mexico,2022,H6
458,MYS,Malaysia,2017,H5
458,MYS,Malaysia,2022,H6
528,NLD,Netherlands,2017,H5
528,NLD,Netherlands,2022,H6
608,PHL,Philippines,2017,H4
608,PHL,Philippines,2022,H5
702,SGP,Singapore,2017,H4
702,SGP,Singapore,2022,H6
764,THA,Thailand,2017,H5
764,THA,Thailand,2022,H6
704,VNM,Viet Nam,2017,H4
704,VNM,Viet Nam,2022,H6
