classification,reporter_code,reporter_iso3,reporter,partner_code,partner_iso3,partner,partner_is_group,flow,year,cmd_code,trade_value,is_reported_api_field,is_aggregate_api_field,source_flag,fetched_at_utc
H5,458,MYS,Malaysia,8,ALB,Albania,False,M,2017,8542,2291.487,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,36,AUS,Australia,False,M,2017,8542,2924384.731,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,40,AUT,Austria,False,M,2017,8542,137579481.248,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,50,BGD,Bangladesh,False,M,2017,8542,2572.975,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,52,BRB,Barbados,False,M,2017,8542,40836.053,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,56,BEL,Belgium,False,M,2017,8542,57650833.533,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,76,BRA,Brazil,False,M,2017,8542,3395780.235,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,96,BRN,Brunei Darussalam,False,M,2017,8542,4396.944,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,100,BGR,Bulgaria,False,M,2017,8542,5598728.731,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,104,MMR,Myanmar,False,M,2017,8542,1174.614,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,116,KHM,Cambodia,False,M,2017,8542,1925.715,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,120,CMR,Cameroon,False,M,2017,8542,156782.671,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,124,CAN,Canada,False,M,2017,8542,10408277.086,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,144,LKA,Sri Lanka,False,M,2017,8542,17217.815,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,156,CHN,China,False,M,2017,8542,3821775207.152,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,170,COL,Colombia,False,M,2017,8542,1928.975,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,188,CRI,Costa Rica,False,M,2017,8542,1150147.036,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,191,HRV,Croatia,False,M,2017,8542,16585.456,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,196,CYP,Cyprus,False,M,2017,8542,91203.824,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,203,CZE,Czechia,False,M,2017,8542,82034794.519,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,208,DNK,Denmark,False,M,2017,8542,483269.232,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,214,DOM,Dominican Rep.,False,M,2017,8542,2611.391,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,233,EST,Estonia,False,M,2017,8542,29879.897,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,242,FJI,Fiji,False,M,2017,8542,7347.798,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,246,FIN,Finland,False,M,2017,8542,2262972.083,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,251,FRA,France,False,M,2017,8542,142930298.221,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,276,DEU,Germany,False,M,2017,8542,802902190.507,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,300,GRC,Greece,False,M,2017,8542,31477.791,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,320,GTM,Guatemala,False,M,2017,8542,12086.766,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,328,GUY,Guyana,False,M,2017,8542,128140.95,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,340,HND,Honduras,False,M,2017,8542,9593.883,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,344,HKG,"China, Hong Kong SAR",False,M,2017,8542,606643473.64,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,348,HUN,Hungary,False,M,2017,8542,1919290.524,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,360,IDN,Indonesia,False,M,2017,8542,15474858.21,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,364,IRN,Iran,False,M,2017,8542,4923476.826,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,372,IRL,Ireland,False,M,2017,8542,595988900.618,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,380,ITA,Italy,False,M,2017,8542,131200023.075,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,392,JPN,Japan,False,M,2017,8542,1873395134.596,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,400,JOR,Jordan,False,M,2017,8542,2136.889,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,410,KOR,Rep. of Korea,False,M,2017,8542,1421092891.138,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,414,KWT,Kuwait,False,M,2017,8542,2108.717,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,440,LTU,Lithuania,False,M,2017,8542,1491.958,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,442,LUX,Luxembourg,False,M,2017,8542,2353.186,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,446,MAC,"China, Macao SAR",False,M,2017,8542,761138.418,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,458,MYS,Malaysia,False,M,2017,8542,6918.93,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,462,MDV,Maldives,False,M,2017,8542,7234.178,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
