country,iso3,year,n1_electronics_foreign_va_share,source_measure,legacy_measure_name,activity,counterpart_area,unit_measure,source_flag
Germany,DEU,2017,26.048,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Germany,DEU,2022,30.639,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
India,IND,2017,26.193,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
India,IND,2022,39.839,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Indonesia,IDN,2017,20.992,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Indonesia,IDN,2022,28.891,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Japan,JPN,2017,19.489,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Japan,JPN,2022,25.24,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Malaysia,MYS,2017,54.031,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Malaysia,MYS,2022,46.808,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Mexico,MEX,2017,51.16,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Mexico,MEX,2022,50.774,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Netherlands,NLD,2017,53.81,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Netherlands,NLD,2022,32.253,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Philippines,PHL,2017,48.892,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Philippines,PHL,2022,52.625,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Singapore,SGP,2017,54.578,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Singapore,SGP,2022,46.11,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
South Korea,KOR,2017,28.477,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
South Korea,KOR,2022,32.392,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Thailand,THA,2017,52.718,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Thailand,THA,2022,55.97,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Vietnam,VNM,2017,52.762,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
Vietnam,VNM,2022,55.925,EXGR_FVA,EXGR_FVASH,C26_27,W,PT_EXGR,OECD_TiVA_2025_SDMX
