country,iso3,year,N2,N3,N4,V1,V2,world_import_value,world_export_value,china_import_value,us_export_value,import_partner_share_sum,source_flag
Malaysia,MYS,2017,0.12313789663949574,0.0598008729106767,0.007363753707426529,0.14052919489321317,12,31036547735.916,32978910700.28,3821775207.152,1972167647.52,0.9999999999999678,UN_Comtrade_official_reporter_HS8542
Vietnam,VNM,2017,0.07540458044355754,0.05175852001148251,0.003902829485845316,0.2448279968712804,10,21049567769.8,6771740527.4,1587233826.2,350495267.6,1.0,UN_Comtrade_official_reporter_HS8542
Singapore,SGP,2017,0.10529128144021904,0.046933631942224774,0.004941702249840443,0.1914275912644151,10,59174904370.677,79986641362.046,6230601510.291,3754063585.981,0.9999999999999664,UN_Comtrade_official_reporter_HS8542
Thailand,THA,2017,0.07553895745088411,0.08758836926104756,0.006616334098802597,0.13978152830604967,12,11141372218.53,8267381910.74,841607641.96,724126499.62,1.0,UN_Comtrade_official_reporter_HS8542
India,IND,2017,0.27790753693728165,0.10793696117471062,0.029996495024558825,0.1595370713791109,13,2104623437.586,77064631.165,584890715.72,8318122.102,0.9999999999999999,UN_Comtrade_official_reporter_HS8542
Indonesia,IDN,2017,0.0961385466265693,0.01826015603361486,0.001755504862246113,0.1190456127737592,12,1561528890.0,361216967.58,150123118.0,6595878.19,0.9999999999999999,UN_Comtrade_official_reporter_HS8542
Philippines,PHL,2017,0.05928545504811763,0.05680083074057692,0.003367463097566211,0.15973267825890042,10,12720090592.0,13982206627.0,754116359.0,794200952.0,0.9999999999999999,UN_Comtrade_official_reporter_HS8542
Japan,JPN,2017,0.08874199422340821,0.0452599899089959,0.004016461763055628,0.29081814701368863,9,19451341082.514,26673541180.398,1726150797.982,1207244204.662,1.0000000000000515,UN_Comtrade_official_reporter_HS8542
South Korea,KOR,2017,0.30583169684185557,0.006725694526552518,0.002056930569495537,0.21022895222175814,10,33386617494.0,86103151684.0,10210685880.0,579103496.0,0.9999999999999999,UN_Comtrade_official_reporter_HS8542
Mexico,MEX,2017,0.27564324103384996,0.8782803196912339,0.24209203385593758,0.17222621082240427,10,16387089163.0,2182795291.0,4516990368.0,1917106146.0,1.0,UN_Comtrade_official_reporter_HS8542
Germany,DEU,2017,0.08488240189956338,0.03026016387289799,0.0025685553914059755,0.09080440959506034,16,17413854409.61,15177647839.784,1478129788.617,459278110.837,0.9999999999999424,UN_Comtrade_official_reporter_HS8542
Netherlands,NLD,2017,0.025408411249997834,0.029367368140161935,0.0007461781670353185,0.19591825933045834,11,10625730746.822,9306187350.076,269982936.647,273298229.891,0.9999999999998116,UN_Comtrade_official_reporter_HS8542
