country,iso3,year,p1_unga_relative_alignment,avg_distance_to_china,avg_distance_to_us,window_start,window_end,ideal_point_column,source_flag
Malaysia,MYS,2017,0.1073448418301264,0.3833060666666667,3.1874856,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Malaysia,MYS,2022,0.192570518117358,0.6515205666666667,2.7317624666666673,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Vietnam,VNM,2017,0.09075862721098459,0.347578,3.4821185333333333,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Vietnam,VNM,2022,0.15105142794684503,0.5110497333333334,2.8722333,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Singapore,SGP,2017,0.12019049609729598,0.42520420000000003,3.1125480666666667,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Singapore,SGP,2022,0.2845676099756005,0.9627727666666667,2.420510266666667,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Thailand,THA,2017,0.12999825602468287,0.45301256666666667,3.031746233333333,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Thailand,THA,2022,0.23606860322682038,0.7986869,2.5845961333333336,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
India,IND,2017,0.0710587888756949,0.23089870333333332,3.0185051633333333,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
India,IND,2022,0.23170971083698183,0.7839395333333333,2.5993435,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Indonesia,IDN,2017,0.06223923191401747,0.22993006666666668,3.464364666666667,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Indonesia,IDN,2022,0.14132403209817176,0.47813920000000004,2.9051438333333337,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Philippines,PHL,2017,0.11448376045205697,0.4041166,3.1257866666666665,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Philippines,PHL,2022,0.25432386970166876,0.8604496333333334,2.5228334,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Japan,JPN,2017,0.43165192474894576,1.4026114333333333,1.8467924333333332,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Japan,JPN,2022,0.6034754349205054,2.0417282,1.3415548333333334,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
South Korea,KOR,2017,0.5025719076512455,1.6330590999999999,1.6163447666666666,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
South Korea,KOR,2022,0.6331244766978851,2.1420393,1.2412437333333335,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Mexico,MEX,2017,0.20810627869423765,0.6762213466666668,2.57318252,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Mexico,MEX,2022,0.3447016360075737,1.1662231966666667,2.217059836666667,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Germany,DEU,2017,0.5971522612414364,1.9403888666666667,1.3090149999999998,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Germany,DEU,2022,0.7416784255442772,2.5093080333333333,0.8739750000000001,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Netherlands,NLD,2017,0.5385457164265905,1.7499525333333334,1.4994513333333332,2016,2018,idealpointall,UNGA_Voeten_Dataverse_file_11824371
Netherlands,NLD,2022,0.7087347830619471,2.3978503666666664,0.9854326666666667,2021,2023,idealpointall,UNGA_Voeten_Dataverse_file_11824371
