country,iso3,target_year,window_year,country_ideal_point,china_ideal_point,us_ideal_point,distance_to_china,distance_to_us
Malaysia,MYS,2017,2016,-0.3974353,-0.8890403,2.575809,0.491605,2.9732443
Malaysia,MYS,2017,2017,-0.6890801,-0.2069984,2.697276,0.48208169999999995,3.3863561
Malaysia,MYS,2017,2018,-0.6174784,-0.7937099,2.585378,0.17623149999999999,3.2028564
Malaysia,MYS,2022,2021,-0.5613298,-0.9829761,2.453945,0.42164630000000003,3.0152748000000003
Malaysia,MYS,2022,2022,-0.6012268,-1.407901,2.114955,0.8066742000000001,2.7161818
Malaysia,MYS,2022,2023,-0.4769948,-1.203236,1.986836,0.7262412,2.4638308
Vietnam,VNM,2017,2016,-0.7167453,-0.8890403,2.575809,0.17229499999999998,3.2925543
Vietnam,VNM,2017,2017,-1.002023,-0.2069984,2.697276,0.7950246000000001,3.699299
Vietnam,VNM,2017,2018,-0.8691243,-0.7937099,2.585378,0.07541439999999999,3.4545022999999997
Vietnam,VNM,2022,2021,-0.7430539,-0.9829761,2.453945,0.23992219999999997,3.1969989
Vietnam,VNM,2022,2022,-0.763444,-1.407901,2.114955,0.6444570000000001,2.878399
Vietnam,VNM,2022,2023,-0.554466,-1.203236,1.986836,0.64877,2.541302
Singapore,SGP,2017,2016,-0.4747864,-0.8890403,2.575809,0.4142539,3.0505954
Singapore,SGP,2017,2017,-0.639521,-0.2069984,2.697276,0.4325226,3.336797
Singapore,SGP,2017,2018,-0.3648738,-0.7937099,2.585378,0.42883609999999994,2.9502518
Singapore,SGP,2022,2021,-0.3767302,-0.9829761,2.453945,0.6062459,2.8306752
Singapore,SGP,2022,2022,-0.2019073,-1.407901,2.114955,1.2059937,2.3168623000000004
Singapore,SGP,2022,2023,-0.1271573,-1.203236,1.986836,1.0760787,2.1139933
Thailand,THA,2017,2016,-0.2485682,-0.8890403,2.575809,0.6404721,2.8243772
Thailand,THA,2017,2017,-0.5600308,-0.2069984,2.697276,0.3530324,3.2573068000000003
Thailand,THA,2017,2018,-0.4281767,-0.7937099,2.585378,0.36553319999999995,3.0135547
Thailand,THA,2022,2021,-0.4112513,-0.9829761,2.453945,0.5717248,2.8651963
Thailand,THA,2022,2022,-0.4235603,-1.407901,2.114955,0.9843407000000001,2.5385153000000003
Thailand,THA,2022,2023,-0.3632408,-1.203236,1.986836,0.8399951999999999,2.3500768
India,IND,2017,2016,-0.7631573,-0.8890403,2.575809,0.12588299999999997,3.3389663
India,IND,2017,2017,-0.05465279,-0.2069984,2.697276,0.15234561,2.75192879
India,IND,2017,2018,-0.3792424,-0.7937099,2.585378,0.4144675,2.9646204
India,IND,2022,2021,-0.2804076,-0.9829761,2.453945,0.7025685,2.7343526000000002
India,IND,2022,2022,-0.3927627,-1.407901,2.114955,1.0151383,2.5077177
India,IND,2022,2023,-0.5691242,-1.203236,1.986836,0.6341118,2.5559602
Indonesia,IDN,2017,2016,-0.8665864,-0.8890403,2.575809,0.022453900000000027,3.4423954
Indonesia,IDN,2017,2017,-0.8217497,-0.2069984,2.697276,0.6147513,3.5190257000000003
Indonesia,IDN,2017,2018,-0.8462949,-0.7937099,2.585378,0.05258499999999999,3.4316728999999997
Indonesia,IDN,2022,2021,-0.726761,-0.9829761,2.453945,0.25621510000000003,3.180706
Indonesia,IDN,2022,2022,-0.8160216,-1.407901,2.114955,0.5918794,2.9309766
Indonesia,IDN,2022,2023,-0.6169129,-1.203236,1.986836,0.5863231,2.6037489000000003
Philippines,PHL,2017,2016,-0.4280501,-0.8890403,2.575809,0.4609902,3.0038591
Philippines,PHL,2017,2017,-0.6277475,-0.2069984,2.697276,0.4207491,3.3250235
Philippines,PHL,2017,2018,-0.4630994,-0.7937099,2.585378,0.3306105,3.0484774
