country,iso3,year,p2_official_active_defense_tie,treaty_or_basis,source_url,coding_note,reference_as_of
Malaysia,MYS,2022,0,No qualifying U.S. collective-defense treaty or NATO membership identified,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,2022-12-31
Vietnam,VNM,2022,0,No qualifying U.S. collective-defense treaty or NATO membership identified,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,2022-12-31
Singapore,SGP,2022,0,No qualifying U.S. collective-defense treaty or NATO membership identified,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,2022-12-31
Thailand,THA,2022,1,U.S.-Thailand formal defense alliance; 1954 Manila Pact,https://2021-2025.state.gov/u-s-security-cooperation-with-thailand/; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,State Department's 2022 fact sheet identifies Thailand as a treaty ally; official treaty records and the State Department's July 2022 bilateral statement support the target-year status.,2022-12-31
India,IND,2022,0,No qualifying U.S. collective-defense treaty or NATO membership identified,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,2022-12-31
Indonesia,IDN,2022,0,No qualifying U.S. collective-defense treaty or NATO membership identified,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,2022-12-31
Philippines,PHL,2022,1,1951 U.S.-Philippines Mutual Defense Treaty,https://2021-2025.state.gov/u-s-security-cooperation-with-the-philippines/; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,State Department's October 2022 fact sheet identifies the Mutual Defense Treaty as the foundation of the bilateral alliance; the State treaty records provide the formal agreement context.,2022-12-31
Japan,JPN,2022,1,1960 U.S.-Japan Treaty of Mutual Cooperation and Security,https://2021-2025.state.gov/joint-statement-of-the-u-s-japan-security-consultative-committee-22/; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,The January 2022 U.S.-Japan joint statement reaffirms the U.S. defense commitment under the 1960 treaty; State treaty records provide the formal agreement context.,2022-12-31
South Korea,KOR,2022,1,1953 U.S.-Republic of Korea Mutual Defense Treaty,https://2021-2025.state.gov/wp-content/uploads/2023/05/ICS_EAP_ROK_19APR2023_PUBLIC.pdf; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,The State Department's Korea country strategy was approved April 15 2022 and explicitly refers to the alliance and mutual-defense treaty obligations; it was reviewed and updated April 19 2023. Treaty records provide the formal agreement context.,2022-12-31
Mexico,MEX,2022,0,No qualifying U.S. collective-defense treaty or NATO membership identified in the selected 2022 sources,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://www.nato.int/cps/en/natohq/opinions_212795.htm,Screened the State treaty records and NATO membership chronology for a qualifying formal defense tie in 2022; Mexico's separate 2004 Rio Treaty status is not used for this target-year coding.,2022-12-31
