DATAFLOW,MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MULT
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,VNM,C26_27,W,PT_EXGR,A,2020,55.284,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,THA,C26_27,W,PT_EXGR,A,2020,47.709,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,SGP,C26_27,W,PT_EXGR,A,2020,51.061,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,SGP,C26_27,W,PT_EXGR,A,2017,54.578,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,PHL,C26_27,W,PT_EXGR,A,2017,48.892,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MYS,C26_27,W,PT_EXGR,A,2017,54.031,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IDN,C26_27,W,PT_EXGR,A,2017,20.992,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IND,C26_27,W,PT_EXGR,A,2017,26.193,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,NLD,C26_27,W,PT_EXGR,A,2017,53.81,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MEX,C26_27,W,PT_EXGR,A,2017,51.16,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,KOR,C26_27,W,PT_EXGR,A,2017,28.477,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,JPN,C26_27,W,PT_EXGR,A,2017,19.489,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,DEU,C26_27,W,PT_EXGR,A,2017,26.048,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,PHL,C26_27,W,PT_EXGR,A,2020,50.401,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MYS,C26_27,W,PT_EXGR,A,2020,50.953,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IDN,C26_27,W,PT_EXGR,A,2020,24.387,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IND,C26_27,W,PT_EXGR,A,2020,33.907,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,NLD,C26_27,W,PT_EXGR,A,2020,42.903,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MEX,C26_27,W,PT_EXGR,A,2020,49.226,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,KOR,C26_27,W,PT_EXGR,A,2020,27.323,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,JPN,C26_27,W,PT_EXGR,A,2020,18.52,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,DEU,C26_27,W,PT_EXGR,A,2020,25.022,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,VNM,C26_27,W,PT_EXGR,A,2022,55.925,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,THA,C26_27,W,PT_EXGR,A,2022,55.97,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,SGP,C26_27,W,PT_EXGR,A,2022,46.11,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,PHL,C26_27,W,PT_EXGR,A,2022,52.625,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MYS,C26_27,W,PT_EXGR,A,2022,46.808,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IDN,C26_27,W,PT_EXGR,A,2022,28.891,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IND,C26_27,W,PT_EXGR,A,2022,39.839,0
