country,iso3,year,p1_unga_relative_alignment,p2_us_formal_alliance,p2_us_formal_alliance_structural_2018,p2_source_year,n1_electronics_foreign_va_share,n2_china_hs8542_import_share,n3_us_hs8542_export_share,n4_dual_dependency,v1_hs8542_import_hhi,v2_effective_supplier_count,avg_distance_to_china,avg_distance_to_us,window_start,window_end,source_flag,missing_flag,notes
Malaysia,MYS,2017,0.1073448418301264,0.0,0,2017,54.031,0.1231378966394957,0.0598008729106767,0.0073637537074265,0.1405291948932131,12,0.3833060666666667,3.1874856,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Malaysia,MYS,2022,0.192570518117358,0,0,2022,46.808,0.1706007876866205,0.0784204153255683,0.0133785846252538,0.1483534270842849,13,0.6515205666666667,2.7317624666666678,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Vietnam,VNM,2017,0.0907586272109845,0.0,0,2017,52.762,0.0754045804435575,0.0517585200114825,0.0039028294858453,0.2448279968712804,10,0.347578,3.4821185333333333,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Vietnam,VNM,2022,0.151051427946845,0,0,2022,55.925,0.1802424888623401,0.0465892513141927,0.0083973626111031,0.2062658973721466,9,0.5110497333333334,2.8722333,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Singapore,SGP,2017,0.1201904960972959,0.0,0,2017,54.578,0.105291281440219,0.0469336319422247,0.0049417022498404,0.1914275912644151,10,0.4252042,3.1125480666666667,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Singapore,SGP,2022,0.2845676099756005,0,0,2022,46.11,0.0765676792912575,0.0421840893809346,0.0032299378269131,0.247497433379193,8,0.9627727666666668,2.420510266666667,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Thailand,THA,2017,0.1299982560246828,1.0,1,2017,52.718,0.0755389574508841,0.0875883692610475,0.0066163340988025,0.1397815283060496,12,0.4530125666666666,3.031746233333333,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Thailand,THA,2022,0.2360686032268203,1,1,2022,55.97,0.1298095676176452,0.0796213917824857,0.0103356184403996,0.1518538184275982,12,0.7986869,2.5845961333333336,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
India,IND,2017,0.0710587888756949,0.0,0,2017,26.193,0.2779075369372816,0.1079369611747106,0.0299964950245588,0.1595370713791109,13,0.2308987033333333,3.0185051633333333,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
India,IND,2022,0.2317097108369818,0,0,2022,39.839,0.3137462044919105,0.0360479265520956,0.0113099001355231,0.1949481521322254,9,0.7839395333333333,2.5993435,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Indonesia,IDN,2017,0.0622392319140174,0.0,0,2017,20.992,0.0961385466265693,0.0182601560336148,0.0017555048622461,0.1190456127737592,12,0.2299300666666666,3.464364666666667,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
