country,iso3,p1_unga_relative_alignment_2017,p1_unga_relative_alignment_2022,p1_unga_relative_alignment_change_2022_minus_2017,p2_us_formal_alliance_2017,p2_us_formal_alliance_2022,p2_us_formal_alliance_change_2022_minus_2017,n1_electronics_foreign_va_share_2017,n1_electronics_foreign_va_share_2022,n1_electronics_foreign_va_share_change_2022_minus_2017,n2_china_hs8542_import_share_2017,n2_china_hs8542_import_share_2022,n2_china_hs8542_import_share_change_2022_minus_2017,n3_us_hs8542_export_share_2017,n3_us_hs8542_export_share_2022,n3_us_hs8542_export_share_change_2022_minus_2017,n4_dual_dependency_2017,n4_dual_dependency_2022,n4_dual_dependency_change_2022_minus_2017,v1_hs8542_import_hhi_2017,v1_hs8542_import_hhi_2022,v1_hs8542_import_hhi_change_2022_minus_2017,v2_effective_supplier_count_2017,v2_effective_supplier_count_2022,v2_effective_supplier_count_change_2022_minus_2017
Germany,DEU,0.5971522612414364,0.7416784255442772,0.14452616430284082,1.0,1.0,0.0,26.048,30.639,4.591000000000001,0.0848824018995633,0.1314343719224416,0.046551970022878295,0.0302601638728979,0.0272565993221255,-0.0030035645507724,0.0025685553914059,0.0035824540126452,0.0010138986212393,0.0908044095950603,0.1078662428363596,0.0170618332412993,16.0,12.0,-4.0
India,IND,0.0710587888756949,0.2317097108369818,0.16065092196128689,0.0,0.0,0.0,26.193,39.839,13.645999999999997,0.2779075369372816,0.3137462044919105,0.03583866755462889,0.1079369611747106,0.0360479265520956,-0.071889034622615,0.0299964950245588,0.0113099001355231,-0.0186865948890357,0.1595370713791109,0.1949481521322254,0.0354110807531145,13.0,9.0,-4.0
Indonesia,IDN,0.0622392319140174,0.1413240320981717,0.07908480018415431,0.0,0.0,0.0,20.992,28.891,7.898999999999997,0.0961385466265693,0.259326368129828,0.16318782150325872,0.0182601560336148,0.0410862434837646,0.022826087450149798,0.0017555048622461,0.0106547463027425,0.008899241440496398,0.1190456127737592,0.1918399225778774,0.0727943098041182,12.0,10.0,-2.0
Japan,JPN,0.4316519247489457,0.6034754349205054,0.17182351017155967,1.0,1.0,0.0,19.489,25.24,5.750999999999998,0.0887419942234082,0.0830985904740396,-0.0056434037493686,0.0452599899089959,0.0309100824301123,-0.014349907478883601,0.0040164617630556,0.0025685842813787,-0.0014478774816769004,0.2908181470136886,0.3645901307427526,0.07377198372906402,9.0,10.0,1.0
Malaysia,MYS,0.1073448418301264,0.192570518117358,0.08522567628723161,0.0,0.0,0.0,54.031,46.808,-7.222999999999999,0.1231378966394957,0.1706007876866205,0.04746289104712478,0.0598008729106767,0.0784204153255683,0.018619542414891603,0.0073637537074265,0.0133785846252538,0.006014830917827301,0.1405291948932131,0.1483534270842849,0.007824232191071784,12.0,13.0,1.0
Mexico,MEX,0.2081062786942376,0.3447016360075737,0.1365953573133361,0.0,0.0,0.0,51.16,50.774,-0.3859999999999957,0.2756432410338499,0.1854271305619733,-0.09021611047187661,0.8782803196912339,0.7796026327548874,-0.09867768693634649,0.2420920338559375,0.1445594791702986,-0.0975325546856389,0.1722262108224042,0.1687908454035893,-0.003435365418814895,10.0,12.0,2.0
Netherlands,NLD,0.5385457164265905,0.7087347830619471,0.1701890666353566,1.0,1.0,0.0,53.81,32.253,-21.557000000000002,0.0254084112499978,0.0779268797818363,0.052518468531838496,0.0293673681401619,0.12791710689229,0.0985497387521281,0.0007461781670353,0.0099681810108357,0.0092220028438004,0.1959182593304583,0.0779245357415419,-0.11799372358891641,11.0,15.0,4.0
Philippines,PHL,0.1144837604520569,0.2543238697016687,0.13984010924961182,1.0,1.0,0.0,48.892,52.625,3.732999999999997,0.0592854550481176,0.0898643555022621,0.0305789004541445,0.0568008307405769,0.0847383825415404,0.027937551800963495,0.0033674630975662,0.0076149601333996,0.0042474970358334,0.1597326782589004,0.1403853755044386,-0.01934730275446178,10.0,11.0,1.0
Singapore,SGP,0.1201904960972959,0.2845676099756005,0.1643771138783046,0.0,0.0,0.0,54.578,46.11,-8.468000000000004,0.105291281440219,0.0765676792912575,-0.028723602148961497,0.0469336319422247,0.0421840893809346,-0.0047495425612901,0.0049417022498404,0.0032299378269131,-0.0017117644229273001,0.1914275912644151,0.247497433379193,0.05606984211477789,10.0,8.0,-2.0
South Korea,KOR,0.5025719076512455,0.6331244766978851,0.1305525690466396,1.0,1.0,0.0,28.477,32.392,3.9150000000000027,0.3058316968418555,0.3766776531697877,0.07084595632793217,0.0067256945265525,0.0113559403395437,0.0046302458129912,0.0020569305694955,0.0042775289566354,0.0022205983871399003,0.2102289522217581,0.2527262682042873,0.04249731598252918,10.0,11.0,1.0
Thailand,THA,0.1299982560246828,0.2360686032268203,0.10607034720213751,1.0,1.0,0.0,52.718,55.97,3.2519999999999953,0.0755389574508841,0.1298095676176452,0.0542706101667611,0.0875883692610475,0.0796213917824857,-0.007966977478561801,0.0066163340988025,0.0103356184403996,0.0037192843415971002,0.1397815283060496,0.1518538184275982,0.012072290121548618,12.0,12.0,0.0
Vietnam,VNM,0.0907586272109845,0.151051427946845,0.060292800735860505,0.0,0.0,0.0,52.762,55.925,3.1629999999999967,0.0754045804435575,0.1802424888623401,0.1048379084187826,0.0517585200114825,0.0465892513141927,-0.0051692686972898,0.0039028294858453,0.0083973626111031,0.004494533125257801,0.2448279968712804,0.2062658973721466,-0.038562099499133806,10.0,9.0,-1.0
