country,iso3,year,p1_unga_relative_alignment,p2_us_formal_alliance,p2_source_year,p2_measurement_source,p2_evidence_source_url,p2_treaty_or_basis,p2_coding_note,p2_oas_adjustment,p2_atop_observed,p2_atop_source_year,p2_atop_structural_2018,p2_official_2022,n1_electronics_foreign_va_share,n2_china_hs8542_import_share,n3_us_hs8542_export_share,n4_dual_dependency,v1_hs8542_import_hhi,v2_effective_supplier_count,avg_distance_to_china,avg_distance_to_us,window_start,window_end,p3_reviewed_candidate_literal_count,p3_bis_direct_increase_events_reviewed_subset,p3_bis_direct_increase_flag_reviewed_subset,p3_scope,p3_scoring_status,p3_notes,p3_coverage_note,cdis_observation_year,cdis_observation_lag_years,cdis_sample_country_inward_from_china_usd_millions,cdis_china_outward_position_in_sample_country_usd_millions,cdis_inward_value_reported,cdis_outward_value_reported,cdis_any_direction_reported,cdis_coverage_note,cdis_direction_note,cdis_score_status,source_flag,missing_flag,context_missing_flag,notes
Malaysia,MYS,2017,0.1073448418301264,0,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,0.0,2017,0,,54.031,0.1231378966394957,0.0598008729106767,0.0073637537074265,0.1405291948932131,12,0.3833060666666667,3.1874856,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,5716.42804876784,2201.52588564746,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,ATOP observed defense obligation with the United States.
Malaysia,MYS,2022,0.192570518117358,0,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,No qualifying U.S. collective-defense treaty or NATO membership identified,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,False,,2018,0,0.0,46.808,0.1706007876866205,0.0784204153255683,0.0133785846252538,0.1483534270842849,13,0.6515205666666667,2.7317624666666678,2021,2023,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,8141.46879698,3026.10179182471,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Vietnam,VNM,2017,0.0907586272109845,0,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,0.0,2017,0,,52.762,0.0754045804435575,0.0517585200114825,0.0039028294858453,0.2448279968712804,10,0.347578,3.4821185333333333,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,6.413829,,True,False,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,not_reported:cdis_outward,ATOP observed defense obligation with the United States.
Vietnam,VNM,2022,0.151051427946845,0,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,No qualifying U.S. collective-defense treaty or NATO membership identified,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,False,,2018,0,0.0,55.925,0.1802424888623401,0.0465892513141927,0.0083973626111031,0.2062658973721466,9,0.5110497333333334,2.8722333,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,115.837076,,True,False,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,not_reported:cdis_outward,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Singapore,SGP,2017,0.1201904960972959,0,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,0.0,2017,0,,54.578,0.105291281440219,0.0469336319422247,0.0049417022498404,0.1914275912644151,10,0.4252042,3.1125480666666667,2016,2018,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,107635.794617976,,True,False,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,not_reported:cdis_outward,ATOP observed defense obligation with the United States.
Singapore,SGP,2022,0.2845676099756005,0,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,No qualifying U.S. collective-defense treaty or NATO membership identified,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,False,,2018,0,0.0,46.11,0.0765676792912575,0.0421840893809346,0.0032299378269131,0.247497433379193,8,0.9627727666666668,2.420510266666667,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,168906.94048728,,True,False,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,not_reported:cdis_outward,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Thailand,THA,2017,0.1299982560246828,1,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,1.0,2017,1,,52.718,0.0755389574508841,0.0875883692610475,0.0066163340988025,0.1397815283060496,12,0.4530125666666666,3.031746233333333,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,4232.35878636482,3710.62106187243,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,ATOP observed defense obligation with the United States.
Thailand,THA,2022,0.2360686032268203,1,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://2021-2025.state.gov/u-s-security-cooperation-with-thailand/; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,U.S.-Thailand formal defense alliance; 1954 Manila Pact,State Department's 2022 fact sheet identifies Thailand as a treaty ally; official treaty records and the State Department's July 2022 bilateral statement support the target-year status.,False,,2018,1,1.0,55.97,0.1298095676176452,0.0796213917824857,0.0103356184403996,0.1518538184275982,12,0.7986869,2.5845961333333336,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,4328.81349312,4432.65721851406,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,State Department's 2022 fact sheet identifies Thailand as a treaty ally; official treaty records and the State Department's July 2022 bilateral statement support the target-year status.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
India,IND,2017,0.0710587888756949,0,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,0.0,2017,0,,26.193,0.2779075369372816,0.1079369611747106,0.0299964950245588,0.1595370713791109,13,0.2308987033333333,3.0185051633333333,2016,2018,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,684.285759114508,398.358760654681,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,ATOP observed defense obligation with the United States.
India,IND,2022,0.2317097108369818,0,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,No qualifying U.S. collective-defense treaty or NATO membership identified,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,False,,2018,0,0.0,39.839,0.3137462044919105,0.0360479265520956,0.0113099001355231,0.1949481521322254,9,0.7839395333333333,2.5993435,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,621.68559539,343.595437569395,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
