country,iso3,year,risk_p1_unga,risk_p2_active_formal_defense_tie,risk_n1_tiva,risk_n2_china_input,risk_n3_us_market,risk_n4_dual_dependency,risk_v1_import_concentration,risk_v2_low_supplier_diversity,gtri_v0_equal_weight,gtri_v0_theory_weight,rank_equal_weight_within_year,rank_theory_weight_within_year,index_scope
Malaysia,MYS,2017,0.06638652927145496,0.0,0.9468490447082044,0.2782181692179409,0.06089713352630717,0.027419470375830014,0.21838916229695024,0.5,0.2622699386745859,0.23117332634625054,10,10,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Malaysia,MYS,2022,0.19182185459007367,0.0,0.7488555686521752,0.4133364357297656,0.08226073125992417,0.05234150974815921,0.24568309755638987,0.375,0.26366239969206096,0.245739475442701,12,12,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Vietnam,VNM,2017,0.04197490454530197,0.0,0.9120638140401853,0.14233005121745332,0.05166953875830902,0.013079368236092534,0.5822235525997935,0.75,0.31166765367464194,0.26139141187574355,7,8,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Vietnam,VNM,2022,0.13071397244292302,0.0,0.9987664811819851,0.44078461514628625,0.04573844901586969,0.03170215797668501,0.44770409797542204,0.875,0.3713012217173964,0.3278051956907665,8,8,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Singapore,SGP,2017,0.0852927895926102,0.0,0.9618431512294072,0.2274120835449121,0.046133582743680415,0.017383866281147926,0.39594237153710005,0.75,0.3105009806161072,0.2659487741752455,8,7,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Singapore,SGP,2022,0.327223363247088,0.0,0.7297223212083003,0.1456411832748556,0.04068407628228946,0.010291287798533392,0.5915355752298594,1.0,0.3556372258801158,0.30303575654298043,9,9,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Thailand,THA,2017,0.09972787078800578,1.0,0.9108577067514598,0.1427125982534312,0.09277981253236525,0.02432258849032777,0.21578101328918262,0.5,0.37327269876309654,0.2903182351685,6,6,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Thailand,THA,2022,0.2558424255510319,1.0,1.0,0.2972112098317073,0.08363870163864882,0.039733188067356776,0.2578938106812018,0.5,0.42928991697124336,0.347843808596024,4,5,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
India,IND,2017,0.012980642041790962,0.0,0.18376689235492452,0.718819342984036,0.11612727845834574,0.12119668172478387,0.2846959560571764,0.375,0.2265733492026322,0.23545019465774805,11,9,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
India,IND,2022,0.24942699878333421,0.0,0.5578246210356076,0.8208455476091835,0.0336435963724048,0.04377005744861253,0.4082234437313249,0.875,0.3735917831225585,0.3522105644115708,7,4,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Indonesia,IDN,2017,0.0,0.0,0.041199528521696234,0.20135590292509095,0.013234352929838275,0.004182075935506573,0.14344615380873885,0.5,0.11292725176510886,0.10148952179838422,12,12,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Indonesia,IDN,2022,0.11639717126355684,0.0,0.25772319837723745,0.665922116042383,0.03942443533096922,0.04105547247713864,0.3973807419612193,0.75,0.28348789193156304,0.26907311764322084,11,11,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Philippines,PHL,2017,0.07689360435463802,1.0,0.8059811956909078,0.09644181657628713,0.05745496010024918,0.010861114325119256,0.2853783081887207,0.75,0.3853763749044903,0.29400439029879694,5,5,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Philippines,PHL,2022,0.2827105642247962,1.0,0.9083084345275623,0.1834944155656601,0.08950980898098876,0.028460326972501424,0.2178874648791841,0.625,0.4169213768938367,0.3321011095452717,5,7,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Japan,JPN,2017,0.5437023596786453,1.0,0.0,0.18029925599882793,0.044213287692853785,0.013550195783082915,0.7426549086619465,0.875,0.42492750097691956,0.34111520653639416,4,4,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Japan,JPN,2022,0.7965925546841801,1.0,0.15764370494229868,0.16423350620950464,0.027748562402488686,0.007551014742480202,1.0,0.75,0.487971167872619,0.3956459530700474,3,3,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
South Korea,KOR,2017,0.6480825361052842,1.0,0.2463748252515008,0.798314375774155,0.0,0.005431012679785876,0.46152875959759815,0.75,0.4887164386760405,0.42263403440015085,2,2,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
South Korea,KOR,2022,0.8402300752383951,1.0,0.35369096241879344,1.0,0.005312628353175579,0.014631909794017989,0.6097757649012855,0.625,0.5560801675882084,0.4925987083485872,1,2,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Mexico,MEX,2017,0.21468741890035675,0.0,0.8681505441188564,0.7123733020751974,1.0,1.0,0.32896056145301994,0.75,0.6092714783184288,0.6784030332310118,1,1,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Mexico,MEX,2022,0.41572874620958045,0.0,0.857569693813218,0.455544352353272,0.8867796875982372,0.5958805490683065,0.3169766837965457,0.5,0.5035599641048949,0.5399454468435616,2,1,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Germany,DEU,2017,0.7872860946825365,1.0,0.1797922206079877,0.16931169471179036,0.027002862088992448,0.0075508950388593656,0.0449299604769941,0.0,0.27698421595089506,0.22684034247170454,9,11,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Germany,DEU,2022,1.0,1.0,0.30563855157479236,0.3018367338198491,0.023556647171361928,0.011751914436293013,0.10444820591285549,0.5,0.40590400661439396,0.342168065784705,6,6,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Netherlands,NLD,2017,0.7010288617111654,1.0,0.9407910967352869,0.0,0.025978490572901528,0.0,0.4116075512599204,0.625,0.4630507500349093,0.3642652460993516,3,3,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
Netherlands,NLD,2022,0.9515134793647811,1.0,0.3498807598475919,0.14951058124192598,0.13905199842504218,0.038210736279174706,0.0,0.125,0.34414594439481444,0.29235379511123705,10,10,pilot_v0; uses target-year P2 evidence with source break documented; excludes non-exhaustive BIS P3 and non-scoring IMF CDIS context
